time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-25T06:18:10.800Z,37.706665,-121.9355011,7.79,1.46,md,10,174,0.1012,0.06,nc,nc73155895,2019-03-25T06:31:02.637Z,"0km N of Dublin, CA",earthquake,0.51,0.8,0.19,5,automatic,nc,nc
2019-03-25T06:08:23.221Z,59.8184,-141.5839,19.3,1.7,ml,,,,0.3,ak,ak0193v0rimq,2019-03-25T06:11:20.199Z,"54km ESE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-25T05:58:26.737Z,61.3228,-150.0712,19.9,3.3,ml,,,,0.82,ak,ak0193v0gt3k,2019-03-25T06:32:10.658Z,"14km NW of Anchorage, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-25T05:58:20.811Z,60.025,-141.9323,6.3,1.5,ml,,,,1.23,ak,ak0193v0gsm2,2019-03-25T06:00:45.340Z,"28km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T05:46:36.600Z,37.8824997,-122.1726685,16.01,1.02,md,14,151,0.03077,0.29,nc,nc73155890,2019-03-25T06:02:02.482Z,"1km NE of Orinda, CA",earthquake,1.09,1.87,0.21,8,automatic,nc,nc
2019-03-25T05:43:34.710Z,65.9142,-150.0019,16.5,1.3,ml,,,,1.01,ak,ak0193v0dm40,2019-03-25T05:51:33.009Z,"105km NNE of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T05:29:15.910Z,33.5843333,-116.741,15.24,0.77,ml,37,63,0.01913,0.17,ci,ci38284735,2019-03-25T05:32:58.805Z,"7km WNW of Anza, CA",earthquake,0.23,0.37,0.186,23,automatic,ci,ci
2019-03-25T05:21:49.031Z,61.5684,-146.952,18.2,1.5,ml,,,,0.54,ak,ak0193v08xbb,2019-03-25T05:25:48.142Z,"58km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T04:58:53.000Z,35.1228,-97.5761,5,2.8,mb_lg,,85,0.196,1.01,us,us1000jl5k,2019-03-25T06:17:08.387Z,"7km ESE of Blanchard, Oklahoma",earthquake,1,1.6,0.06,73,reviewed,us,us
2019-03-25T04:54:37.050Z,38.8241653,-122.8536682,2.37,0.81,md,8,137,0.0146,0.02,nc,nc73155875,2019-03-25T05:10:04.175Z,"10km WNW of The Geysers, CA",earthquake,0.44,1.32,0.24,2,automatic,nc,nc
2019-03-25T04:43:13.980Z,36.6150017,-121.175499,8.94,2.16,md,30,177,,0.1,nc,nc73155870,2019-03-25T05:03:06.131Z,"10km NNW of Pinnacles, CA",earthquake,0.36,0.61,0.27,31,automatic,nc,nc
2019-03-25T04:20:50.746Z,61.456,-149.9793,41.3,1.4,ml,,,,0.62,ak,ak0193uzna4y,2019-03-25T04:24:47.078Z,"7km S of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-03-25T04:03:18.728Z,62.6701,-152.1554,115.5,1.5,ml,,,,0.26,ak,ak0193uzjkgx,2019-03-25T04:06:33.671Z,"112km WNW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2019-03-25T03:38:33.944Z,59.9875,-141.7408,17.6,1.8,ml,,,,0.97,ak,ak0193uz5o7u,2019-03-25T03:50:50.622Z,"39km ESE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T03:34:55.350Z,33.6136667,-116.7206667,14.11,0.7,ml,24,44,0.04136,0.23,ci,ci38284687,2019-03-25T03:38:40.588Z,"8km NNW of Anza, CA",earthquake,0.45,0.52,0.287,18,automatic,ci,ci
2019-03-25T03:33:13.280Z,36.6230011,-121.1240005,7.54,1.3,md,5,175,,0.05,nc,nc73155865,2019-03-25T04:48:03.042Z,"10km N of Pinnacles, CA",earthquake,0.69,2.07,0.06,7,automatic,nc,nc
2019-03-25T03:30:27.261Z,63.5805,-147.3225,0,1.8,ml,,,,0.9,ak,ak0193uz3xvw,2019-03-25T03:35:27.167Z,"83km ENE of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-03-25T03:19:04.211Z,63.1595,-150.5612,103.7,2,ml,,,,0.61,ak,ak0193uz1jfl,2019-03-25T03:25:34.767Z,"84km WSW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-03-25T03:07:20.350Z,33.6013333,-116.7406667,11.78,0.72,ml,37,52,0.02099,0.18,ci,ci38284671,2019-03-25T03:10:58.168Z,"8km NW of Anza, CA",earthquake,0.26,0.42,0.135,20,automatic,ci,ci
2019-03-25T03:01:59.677Z,61.3618,-146.7564,17.4,2,ml,,,,1.02,ak,ak0193uyxsly,2019-03-25T03:06:30.317Z,"33km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-25T02:54:09.440Z,38.8143349,-122.8193359,2.34,0.74,md,18,75,0.00943,0.04,nc,nc73155830,2019-03-25T04:53:04.087Z,"7km NW of The Geysers, CA",earthquake,0.32,0.59,0.19,2,automatic,nc,nc
2019-03-25T02:53:02.970Z,9.9052,123.8972,10,4.6,mb,,121,3.271,0.83,us,us1000jl4u,2019-03-25T06:15:26.209Z,"1km SE of San Isidro, Philippines",earthquake,8.9,1.9,0.098,31,reviewed,us,us
2019-03-25T02:47:55.998Z,60.1983,-152.5942,99.5,2,ml,,,,0.98,ak,ak0193uym7o0,2019-03-25T02:53:07.334Z,"33km SSE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-25T02:41:05.050Z,19.4050007,-155.2811737,0.02,2.1,md,19,45,0.01193,0.11,hv,hv70884092,2019-03-25T02:44:01.150Z,"5km WSW of Volcano, Hawaii",earthquake,0.13,0.19,0.21,15,automatic,hv,hv
2019-03-25T02:37:56.350Z,37.3237,-117.495,0.9,0.9,ml,7,171.36,0.14,0.14,nn,nn00680794,2019-03-25T02:39:33.070Z,"48km SSW of Goldfield, Nevada",earthquake,,10.8,,,automatic,nn,nn
2019-03-25T02:33:45.120Z,33.5985,-116.7375,11.56,0.4,ml,16,70,0.02271,0.14,ci,ci38284647,2019-03-25T02:37:11.634Z,"8km NW of Anza, CA",earthquake,0.45,0.57,0.202,6,automatic,ci,ci
2019-03-25T02:27:15.405Z,61.416,-149.9611,31.5,1.6,ml,,,,0.58,ak,ak0193uyhu7o,2019-03-25T02:30:21.667Z,"11km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T02:26:54.480Z,33.599,-116.7396667,12.26,0.69,ml,35,38,0.02107,0.21,ci,ci38284631,2019-03-25T02:30:37.732Z,"8km NW of Anza, CA",earthquake,0.31,0.56,0.149,20,automatic,ci,ci
2019-03-25T02:25:38.800Z,35.979332,-120.5426636,4.9,1,md,9,104,0.03042,0.04,nc,nc73155825,2019-03-25T04:26:03.925Z,"14km NW of Parkfield, CA",earthquake,0.56,1.24,0.46,3,automatic,nc,nc
2019-03-25T02:15:30.650Z,32.2231667,-115.8641667,25.61,2.25,ml,11,155,0.2291,0.27,ci,ci38284615,2019-03-25T02:19:04.128Z,"48km SSW of Progreso, B.C., MX",earthquake,1.27,1.54,0.181,26,automatic,ci,ci
2019-03-25T01:58:37.110Z,38.838665,-122.7836685,1.23,0.48,md,10,117,0.00522,0.01,nc,nc73155820,2019-03-25T04:00:02.796Z,"6km WNW of Cobb, CA",earthquake,0.33,0.56,0.06,2,automatic,nc,nc
2019-03-25T01:47:49.760Z,37.6365013,-119.052002,0.2,0.73,md,9,150,0.01864,0.01,nc,nc73155815,2019-03-25T03:34:02.621Z,"6km W of Mammoth Lakes, CA",earthquake,0.64,1.03,0.22,8,automatic,nc,nc
2019-03-25T01:47:07.480Z,34.236,-117.4936667,7.79,1.4,ml,38,28,0.02913,0.15,ci,ci38284599,2019-03-25T01:58:03.800Z,"3km S of Lytle Creek, CA",earthquake,0.17,0.49,0.193,27,automatic,ci,ci
2019-03-25T01:46:46.480Z,37.637001,-119.0513306,0.16,0.97,md,10,176,0.03264,0.02,nc,nc73155810,2019-03-25T03:05:02.469Z,"6km W of Mammoth Lakes, CA",earthquake,0.53,1.85,0.11,8,automatic,nc,nc
2019-03-25T01:44:26.424Z,61.4457,-150.0805,30.9,1.6,ml,,,,0.42,ak,ak0193uy02mq,2019-03-25T01:48:34.163Z,"10km SW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T01:16:13.800Z,61.5271,-149.9176,34,1.4,ml,,,,0.43,ak,ak0193uxu1lv,2019-03-25T01:23:39.166Z,"2km ENE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-25T01:14:41.710Z,34.1138333,-117.434,6.59,1.16,ml,21,78,0.07876,0.15,ci,ci38284567,2019-03-25T01:18:19.705Z,"3km NE of Fontana, CA",earthquake,0.29,0.88,0.185,3,automatic,ci,ci
2019-03-25T01:13:02.820Z,-9.5485,123.3978,82.05,4.5,mb,,78,0.881,1.26,us,us1000jl44,2019-03-25T01:44:42.040Z,"41km W of Naisano Dua, Indonesia",earthquake,7.2,7.3,0.113,23,reviewed,us,us
2019-03-25T01:10:45.010Z,38.7560005,-122.697998,-0.37,0.97,md,6,215,0.0122,0.02,nc,nc73155805,2019-03-25T02:37:03.297Z,"2km SSW of Anderson Springs, CA",earthquake,0.55,1.54,0.2,4,automatic,nc,nc
2019-03-25T00:59:21.779Z,63.1821,-151.1619,28.9,1.8,ml,,,,1.13,ak,ak0193uxhu8f,2019-03-25T01:05:15.395Z,"109km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-03-25T00:55:05.490Z,19.1276,-67.122,42,2.74,md,7,319,0.6602,0.43,pr,pr2019084000,2019-03-25T06:21:39.209Z,"70km N of Isabela, Puerto Rico",earthquake,2.62,9.46,0.27,5,reviewed,pr,pr
2019-03-25T00:24:24.300Z,33.498333,-116.786499,4.16,0.53,ml,17,102,0.01816,0.12,ci,ci38284543,2019-03-25T00:27:58.523Z,"10km NE of Aguanga, CA",earthquake,0.34,0.76,0.206,4,automatic,ci,ci
2019-03-25T00:23:14.370Z,48.5297,155.5843,47.7,4.4,mb,,171,4.776,0.97,us,us1000jl3t,2019-03-25T00:49:03.040Z,"242km S of Severo-Kuril'sk, Russia",earthquake,12.4,8.4,0.11,24,reviewed,us,us
